permalink,name,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_year,first_funding_at,last_funding_at,last_milestone_at
/company/waywire,#waywire,news,1750000,operating,USA,NY,New York,New York,1,2012-06-01,2012,2012-06-30,2012-06-30,2013-09-06
/company/n-plusn,#NAME?,software,600000,operating,USA,NY,New York,New York,1,2012-01-01,2012,2012-08-29,2012-08-29,
/company/1010data,1010data,software,35000000,operating,USA,NY,New York,New York,1,2000-01-01,2000,2010-03-08,2010-03-08,2012-01-01
/company/1stdibs,1stdibs,ecommerce,42000000,operating,USA,NY,New York,New York,3,2001-01-01,2001,2011-11-03,2012-12-03,2011-11-01
/company/20x200,20x200,ecommerce,2800000,operating,USA,NY,New York,New York,2,2007-09-01,2007,2009-10-01,2010-08-01,2012-10-01
/company/22nd-century-group,22nd Century Group,biotech,4951950,ipo,USA,NY,Clarence,Clarence,4,1998-01-01,1998,2011-12-28,2013-02-06,2013-07-24
/company/247-techies,247 Techies,hardware,600000,operating,USA,NY,New York,New York,1,,,2012-11-05,2012-11-05,
/company/24pagebooks,24PageBooks,software,,closed,USA,NY,Rochester,Rochester,1,,,2011-05-23,2011-05-23,
/company/33across,33Across,advertising,24134560,operating,USA,NY,New York,New York,4,2007-09-01,2007,2009-03-13,2012-07-19,2013-09-03
/company/3floz-com,3FLOZ,other,750000,operating,USA,NY,New York,New York,1,2009-11-01,2009,2013-08-16,2013-08-16,
/company/42floors,42Floors,real_estate,17700000,operating,USA,NY,New York,New York,3,2011-01-01,2011,2011-12-01,2013-01-31,2013-01-31
/company/5-oclock-records,5 O'Clock Records,software,440000,operating,USA,NY,New York,New York,1,,,2013-01-08,2013-01-08,
/company/5min,5min Media,games_video,12800000,acquired,USA,NY,New York,NY,3,2007-01-01,2007,2007-04-01,2009-07-23,2011-10-11
/company/72lux,72Lux,software,1400000,operating,USA,NY,New York,New York City,1,2011-07-01,2011,2012-01-01,2012-01-01,2013-09-05
/company/abbeypost,AbbeyPost,ecommerce,25000,operating,USA,NY,New York,New York,1,2012-08-01,2012,2013-07-30,2013-07-30,2013-05-30
/company/abilto,AbilTo,web,3000000,operating,USA,NY,New York,New York,1,2008-01-01,2008,2013-05-14,2013-05-14,
/company/accessnetwork,Access Network,advertising,3200000,operating,USA,NY,New York,New York,2,2008-01-01,2008,2010-04-01,2011-04-01,2008-01-01
/company/accipiter-radar,Accipiter Radar,other,4700000,operating,USA,NY,Orchard Park,Orchard Park,1,1994-01-01,1994,2013-09-04,2013-09-04,
/company/accuvein,AccuVein,hardware,22500000,operating,USA,NY,Huntington,Huntington,1,2006-01-01,2006,2011-07-28,2011-07-28,
/company/acquaintable,Acquaintable,web,40000,operating,USA,NY,New York,New York,1,2012-01-01,2012,2013-01-07,2013-01-07,2013-04-26
/company/acronym-media-inc,"Acronym Media, Inc.",search,,operating,USA,NY,New York,New York,1,1995-03-01,1995,2001-09-05,2001-09-05,2013-03-19
/company/actinium-pharmaceuticals,Actinium Pharmaceuticals,biotech,9630475,operating,USA,NY,New York,New York,3,2000-01-01,2000,2011-10-17,2012-12-31,
/company/action-products-international,Action Products International,software,10150000,operating,USA,NY,New York,New York,2,,,2011-10-19,2012-05-10,
/company/actionx,ActionX,mobile,3000000,operating,USA,NY,New York,New York,1,,,2013-09-16,2013-09-16,
