company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_year,raised_amount_usd
/company/toviefor,ToVieFor,ecommerce,USA,NY,New York,New York,/company/2010-nyu-stern-business-plan-competition,2010 NYU Stern Business Plan Competition,,,,unknown,,angel,2010-04-01,2010,75000
/company/spotdock,spotdock,web,USA,NY,New York,NYC,/company/9mmedia-llc,"9mmedia, LLC",,,,unknown,,angel,2012-01-10,2012,600000
/company/xand,Xand,software,USA,NY,New York,Hawthorne,/company/abry-partners,ABRY Partners,other,USA,MA,Boston,Boston,other,2013-09-12,2013,200000000
/company/krossover-intelligence,Krossover,software,USA,NY,New York,New York,/company/active-angels,Active Angels,,,,unknown,,series-a,2011-10-15,2011,2500000
/company/urban-compass,Urban Compass,web,USA,NY,New York,New York,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,series-a,2013-09-25,2013,20000000
/company/bolster,Bolster,web,USA,NY,New York,New York,/company/agb-holdings,AGB Holdings,,,,unknown,,angel,2012-01-03,2012,750000
/company/art-sy,Artsy,design,USA,NY,New York,New York,/company/alt-option-return,Alt Option Return,,USA,NY,New York,New York,angel,2010-11-24,2010,1250000
/company/mr-youth,Mr. Youth,advertising,USA,NY,New York,New York,/company/alta-communications,Alta Communications,public_relations,USA,MA,Boston,Boston,series-a,2009-02-01,2009,15000000
/company/amiestreet,Amie Street,web,USA,NY,New York,Long Island City,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-a,2007-08-01,2007,
/company/yieldex,Yieldex,advertising,USA,NY,New York,New York,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-b,2009-02-18,2009,8500000
/company/the-talk-market,The Talk Market,ecommerce,USA,NY,New York,New York,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,angel,2008-06-12,2008,
/company/animoto,Animoto,music,USA,NY,New York,New York,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-b,2009-06-18,2009,4400000
/company/animoto,Animoto,music,USA,NY,New York,New York,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-c+,2011-06-29,2011,25000000
/company/songza,Songza,music,USA,NY,New York,Long Island City,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,venture,2011-09-19,2011,2000000
/company/songza,Songza,music,USA,NY,New York,Long Island City,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,private-equity,2013-09-10,2013,4700000
/company/dramafever,DramaFever,games_video,USA,NY,New York,New York,/company/amc-networks,AMC Networks,,,,unknown,,series-b,2012-06-12,2012,6000000
/company/payfone,Payfone,mobile,USA,NY,New York,New York,/company/americanexpress,American Express,other,USA,,TBD,,venture,2011-04-13,2011,19000000
/company/clickable,Clickable,advertising,USA,NY,New York,New York,/company/americanexpress,American Express,other,USA,,TBD,,series-c+,2011-10-17,2011,12000000
/company/warby-parker,Warby Parker,ecommerce,USA,NY,New York,New York,/company/americanexpress,American Express,other,USA,,TBD,,series-b,2013-01-01,2013,41500000
/company/rent-the-runway,Rent the Runway,ecommerce,USA,NY,New York,New York,/company/americanexpress,American Express,other,USA,,TBD,,series-c+,2013-03-11,2013,4400000
/company/fancy,Fancy,web,USA,NY,New York,New York,/company/americanexpress,American Express,other,USA,,TBD,,series-c+,2013-07-08,2013,53000000
/company/learnvest,LearnVest,finance,USA,NY,New York,New York,/company/americanexpress,American Express,other,USA,,TBD,,series-c+,2013-07-26,2013,16500000
/company/look-io,Look.io,mobile,USA,NY,New York,New York,/company/amplify-la,Amplify.LA,finance,USA,CA,Los Angeles,Los Angeles,angel,2012-01-01,2012,
/company/styletrek,StyleTrek,fashion,USA,NY,New York,New York,/company/angel-hub,Angel Hub,,,,unknown,,series-a,2010-02-01,2010,1500000
/company/truly-wireless,Truly Wireless,enterprise,USA,NY,New York,New York,/company/angelpad,AngelPad,,USA,CA,SF Bay,San Francisco,angel,2013-05-01,2013,
/company/xo-group,XO Group,web,USA,NY,New York,New York,/company/aol,AOL,web,USA,NY,New York,New York,series-a,1996-01-01,1996,1600000
/company/kindling,Kindling,software,USA,NY,New York,New York,/company/arc90,Arc90,web,USA,NY,New York,New York City,series-b,2012-10-03,2012,2300000
/company/crystal-is,Crystal IS,semiconductor,USA,NY,Green Island,Green Island,/company/asahi-kasei,Asahi Kasei,,JPN,,Tokyo,Tokyo,series-b,2010-08-23,2010,4000000
/company/persay,PerSay,software,USA,NY,New York,New York,/company/athlone-global-security,Athlone Global Security,,ISR,,Petach - Tikva,Petach Tikva,venture,2006-09-01,2006,2300000
/company/verizon,Verizon,mobile,USA,NY,New York,New York,/company/atlantic-tele-network,Atlantic Tele-Network,network_hosting,USA,MA,Boston,Salem,other,2010-01-26,2010,150000000
/company/robotgalaxy,Robotgalaxy,games_video,USA,NY,New York,New York,/company/bachmann-industries,Bachmann Industries,,USA,PA,Philadelphia,Philadelphia,series-b,2008-09-16,2008,5000000
/company/robotgalaxy,Robotgalaxy,games_video,USA,NY,New York,New York,/company/bachmann-industries,Bachmann Industries,,USA,PA,Philadelphia,Philadelphia,series-a,2007-01-01,2007,7000000
/company/workube,Workube,enterprise,USA,NY,New York,New York,/company/bbcapital,BBCapital,,,,unknown,,angel,2009-01-01,2009,150000
/company/extricom,Extricom,network_hosting,USA,NY,New York,New York,/company/belden-inc,Belden,,USA,MO,Saint Louis,St. Louis,series-c+,2006-10-26,2006,12000000
/company/liftdna,LiftDNA,advertising,USA,NY,New York,New York,/company/ben-franklin-technology-partners,Ben Franklin Technology Partners,,,,unknown,,other,2011-02-11,2011,400000
/company/mojiva,Mojiva,mobile,USA,NY,New York,New York,/company/bertelsmann,Bertelsmann,other,DEU,,Gtersloh,Gtersloh,series-b,2010-04-28,2010,7000000
/company/dramafever,DramaFever,games_video,USA,NY,New York,New York,/company/bertelsmann,Bertelsmann,other,DEU,,Gtersloh,Gtersloh,series-b,2012-06-12,2012,6000000
/company/tumblr,Tumblr,web,USA,NY,New York,New York,/company/betaworks,betaworks,social,USA,NY,New York,New York,series-a,2007-10-31,2007,750000
